,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
40,越秀 小北,距地铁5号线小北1009米,新城市学府,1室0厅1卫,东南 北,4500,低楼层 (共3层),46平米
41,天河 珠江新城东,暂无数据,珠光新城御景,3室2厅2卫,南,16000,中楼层 (共27层),120平米
42,越秀 五羊新城,距地铁5号线五羊邨549米,寺右东小区寺右五巷,2室1厅2卫,北,4300,低楼层 (共9层),53平米
43,天河 天润路,距地铁3号线华师590米,鸿翔大厦,1室1厅1卫,西,4000,低楼层 (共29层),38.86平米
44,海珠 金碧,距地铁2号线东晓南942米,新城国际,2室2厅1卫,东,4500,高楼层 (共22层),41平米
45,白云 黄石路,暂无数据,白云高尔夫花园荷塘月色,1室1厅1卫,西南,3000,高楼层 (共12层),60平米
46,番禺 大石,暂无数据,富丽家园莲芳园,2室1厅1卫,南,2400,中楼层 (共8层),78平米
47,黄埔 区府,距地铁13号线双岗739米,万科黄埔仓,1室0厅1卫,南,1700,中楼层 (共5层),20平米
48,海珠 广州大道南,暂无数据,逸景翠园,3室2厅1卫,南,4800,低楼层 (共12层),81平米
49,天河 珠江新城中,距地铁5号线猎德411米,保利心语花园,3室2厅2卫,南,10000,中楼层 (共32层),110平米
50,番禺 雅居乐,暂无数据,广州雅居乐花园时光九篇,3室2厅1卫,南,4000,高楼层 (共11层),101平米
51,海珠 广州大道南,暂无数据,逸景翠园,2室1厅1卫,北,5000,高楼层 (共19层),67平米
52,白云 白云大道南,距地铁2号线白云公园783米,隆康花园,2室1厅1卫,西北,4800,中楼层 (共11层),86.7平米
53,番禺 大石,暂无数据,城联大厦,1室1厅1卫,北,1800,高楼层 (共10层),40平米
54,天河 珠江新城东,暂无数据,珠光新城御景,3室2厅2卫,南,16000,高楼层 (共27层),120平米
55,天河 珠江新城东,暂无数据,珠光新城御景二期回迁房,2室1厅1卫,南 北 东北,6950,中楼层 (共40层),68平米
56,天河 天润路,距地铁3号线华师1137米,金田花苑,3室2厅1卫,东,6500,低楼层 (共19层),120平米
57,番禺 洛溪,距地铁2号线洛溪171米,吉祥北园,3室1厅1卫,南,3200,中楼层 (共7层),72平米
58,黄埔 区府,距地铁13号线双岗643米,万科黄埔仓,2室1厅1卫,南,3800,高楼层 (共22层),51平米
59,越秀 东风东,距地铁1号线杨箕543米,锦城花园,2室2厅1卫,东北,6200,中楼层 (共32层),84平米
